Noms	CI	a_base	BCUT_PEOE_1	BCUT_PEOE_2	BCUT_SLOGP_2	BCUT_SMR_1	BCUT_SMR_2	b_1rotR	b_max1len	GCUT_PEOE_0	GCUT_SLOGP_0	GCUT_SLOGP_3	GCUT_SMR_0	GCUT_SMR_2	logS	mutagenic	PEOE_VSA.0	PEOE_VSA.5	PEOE_VSA.6	PEOE_VSA.0.1	PEOE_VSA_FPOS	rsynth	SlogP_VSA5	SlogP_VSA8	SlogP_VSA9	SMR_VSA5	AMW	Mv	nTB	nR06	nR09	nR10	nR11	nR12	HNar	MSD	Wap	PW3	PW4	PJI2	Lop	T.N..P.	T.O..Cl.	SRW03	piPC06	PCD	X3A	X4A	X3Av	X5Av	MATS1m	MATS2m	MATS7m	MATS8m	MATS4v	MATS5v	MATS6v	MATS4e	MATS7e	MATS8e	MATS2p	MATS5p	MATS6p	MATS7p	MATS8p	GATS4m	GATS5m	GATS6m	GATS7m	GATS4v	GATS2e	GATS4e	GATS2p	GATS7p	GATS8p	JGI2	JGI4	JGI6	SHP2	SPAM	FDI	HOMA	G.O..F.	G.S..F.	G.F..F.	nCp	nR.Cp	nRCOOR	nArCONHR	nRCO	nCONN	nN.C.N.	nRC.N	nArC.N	nRNHR	nArNR2	nN.N	nN.	nNq	nN.CO.2	nArOR	nPyrrolidines	ntH.Thiophenes	nThiophenes	nPyridines	nPyridazines	nPyrazines	C.004	C.005	C.012	C.015	C.020	C.026	C.027	C.029	C.034	H.046	H.047	H.051	H.052	H.054	O.060	N.070	N.071	N.073	N.075	N.076	N.078	N.079	F.081	Cl.090	S.109	P.117	Ui	MLOGP2	ALOGP2	Depressant.50
Bisheteroypiperazine 	0.72000003	0	-0.5593555	0.57684499	0.68035811	-0.38863939	0.73781079	0.19354838	2	-0.84605783	-0.99039578	2.7486191	-0.50831074	0.1560774	-2.9656	0	126.46796	12.949531	0	0	0.91042763	1	35.383869	0	43.65411	123.07346	7.16	0.62	0	3	1	0	0	0	2	0.255	25859	0.349	0.193	1	0.961	0	0	0	5.968	49.748	0.179	0.114	0.088	0.027	-0.231	-0.059	0.487	-0.165	-0.326	0.091	-0.051	-0.297	0.493	-0.167	-0.078	0.092	-0.036	0.385	-0.135	1.271	0.866	0.991	0.668	1.295	0.863	1.268	0.967	0.707	1.373	0.078	0.034	0.022	0.266	0.324	0.562	-70.3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	3	1	1	0	0	19	0	3	0	1	1	1	0	1	0	0	1	0	0	0	0	3.907	3.846	0.526	0
Bupivacaine	0.73000002	1	-0.38922822	0.48945171	0.45786273	-0.2829622	0.57714409	0.22727273	4	-0.87087321	-2.2599759	2.8261464	-0.62923604	0.1228514	-3.5797601	0	119.84234	40.59901	19.649082	51.842564	0.76714605	1	0	94.342026	102.73479	147.27158	5.79	0.57	0	2	0	0	0	0	1.826	0.252	3900	0.334	0.18	0.833	1.292	0	0	0	4.86	21.965	0.191	0.125	0.133	0.049	-0.098	0.106	0.007	0.146	-0.3	-0.321	-0.155	-0.29	0.007	0.144	0.091	-0.317	-0.161	0.007	0.16	1.772	2.054	1.034	0.521	1.703	0.783	1.779	0.906	0.527	0	0.092	0.04	0.02	0.281	0.268	0.538	-80.683	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13	8	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0.324	8.158	0
Buprenorphine 	0.28999999	1	-0.38144428	0.49256015	0.4728331	-0.2271966	0.64102817	0.1	3	-0.88050938	-2.2602122	3.6737821	-0.63080239	0.092001937	-4.1730299	0	214.6933	40.59901	0	18.017035	0.87742877	0	54.252274	113.21043	143.79091	167.3652	6.17	0.58	0	6	4	5	4	1	1.915	0.155	217538	0.393	0.21	1	1.009	0	0	6	6.514	26.531	0.142	0.079	0.11	0.033	-0.068	-0.094	-0.016	0.051	-0.081	-0.002	0.041	-0.073	-0.017	0.052	-0.101	0	0.05	-0.003	0.048	1.09	1.017	1.113	0.788	1.094	0.875	1.09	0.894	0.813	1.021	0.127	0.057	0.027	0.244	0.254	0.603	-72.962	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	3	1	0	0	0	2	0	0	0	17	11	0	10	0	1	0	0	0	0	0	0	1	0	0	0	0	2.807	0.015	5.463	0
Cefoperazone 	0.039999999	0	-0.57995152	0.45422569	0.46067581	-0.33455646	0.67225164	0.20833333	3	-0.8424657	-1.4899809	2.7650614	-0.52897757	0.19305076	-5.3429899	0	94.850967	25.899061	43.339603	28.527546	0.64561331	1	6.6354017	3.9819686	159.76793	70.572739	9.21	0.65	0	3	0	0	0	0	1.833	0.207	63753	0.365	0.192	1	0.813	0	0	0	5.938	38.736	0.175	0.111	0.1	0.034	-0.125	-0.022	-0.085	0.006	-0.367	0.017	-0.152	-0.382	-0.1	0.27	0.054	-0.112	-0.179	-0.062	0.187	0.859	1.23	0.918	1.04	1.387	0.669	1.433	0.821	1.034	0.768	0.098	0.045	0.02	0.233	0.315	0.579	-59.79	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	19	0	3	0	0	0	0	0	0	0	3	1	0	0	0	0	4.087	0.643	0.249	0
Cefpirome 	0.2	1	-0.57720494	0.5870946	0.60033393	-0.35176983	0.78521055	0.17948718	2	-0.82967997	-1.4900181	2.7627337	-0.55516487	0.25399661	-4.4886098	1	49.634022	46.198566	20.299505	17.784555	0.68043071	0.60000002	98.46286	18.868406	82.437553	176.25871	9.03	0.66	0	2	1	0	0	0	1.927	0.22	54720	0.359	0.208	1	0.965	0	0	0	6.11	45.908	0.165	0.107	0.103	0.034	-0.112	-0.019	-0.129	0.276	-0.067	-0.068	0.166	-0.066	-0.088	-0.26	-0.057	-0.271	0.17	-0.021	-0.084	0.895	1.191	1.218	1.344	1.12	0.646	1.163	0.894	1.135	1.224	0.081	0.038	0.019	0.264	0.322	0.587	-57.546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	4	10	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	4.087	1.838	0.256	0
Ceftizoxime 	0.12	0	-0.56641322	0.63849288	0.63361382	-0.38320473	0.93641543	0.18518518	1	-0.83037448	-1.4898667	2.4013093	-0.52844012	0.32503471	-3.4996099	1	15.808495	25.899061	0	17.784555	0.56417096	1	57.540478	0	63.997974	66.356384	10.34	0.67	0	1	0	0	0	0	1.807	0.238	8866	0.355	0.201	1	1.157	0	0	0	5.398	21.572	0.168	0.109	0.099	0.034	-0.167	-0.088	-0.106	0.339	-0.196	-0.311	0.211	-0.242	0.046	-0.108	-0.068	-0.45	0.182	-0.023	0.05	0.886	1.032	0.996	1.192	1.222	0.726	1.318	0.937	1.025	1.151	0.09	0.043	0.02	0.314	0.349	0.599	-55.553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3.459	0.024	1.11	0
Chloroprocaine 	0.82999998	1	-0.390836	0.4999634	0.43692055	-0.25254235	0.54377007	0.33333334	5	-0.88054144	-2.2596192	2.4422891	-0.62938696	0.10794688	-2.7497001	1	47.425484	55.30751	20.299505	0	0.77417827	1	0	0	108.55742	85.826744	7.15	0.59	0	1	0	0	0	0	1.688	0.302	1432	0.33	0.155	0.833	2.256	0	8	0	4.836	15.983	0.209	0.144	0.127	0.031	-0.03	-0.07	0.052	-0.155	-0.538	-0.094	0.312	0.007	-0.018	-0.01	0.111	-0.01	0.347	-0.343	0.134	1.542	0.73	0.698	0.634	1.97	0.871	1.511	0.799	1.152	0.354	0.097	0.033	0.019	0.336	0.344	0.593	-74.281	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	11	0	6	0	1	0	0	0	0	0	0	1	0	0	0	0	3	1.06	0.772	0
Cimetidine 	0.30000001	0	-0.39110601	0.40250862	0.44334081	-0.15337403	0.5574261	0.29411766	5	-0.84597355	-1.1815736	2.3460841	-0.49558932	0.22129057	-1.9627399	0	0	15.681574	0	0	0.75008559	1	49.682716	0	82.779121	34.019093	7.65	0.61	1	0	0	0	0	0	1.789	0.345	1226	0.31	0.155	0.833	2.728	0	0	0	3.466	12.515	0.217	0.151	0.137	0.068	-0.155	-0.095	0.054	0.062	0.209	-0.398	0.031	0.15	-0.136	0.182	0.361	-0.583	0.157	-0.359	0.133	2.258	1.131	1.639	0.757	0.757	0.58	0.703	0.555	1.258	0.405	0.078	0.024	0.009	0.317	0.352	0.581	-42.38	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	2.322	0.674	1.127	0
Clavulanic_acid 	0.059999999	0	-0.64331782	0.66093463	0.56863099	-0.50324506	0.80968952	0.13333334	2	-0.83908367	-1.4898666	2.2375965	-0.54996324	0.2272373	-0.36342999	0	15.808495	0	0	0	0.65844071	1	5.2434282	18.868406	0	36.511589	9.01	0.62	0	0	0	0	0	0	1.75	0.258	1385	0.355	0.212	0.75	1.461	0	0	0	4.454	6.453	0.158	0.105	0.073	0.02	-0.191	-0.049	1.67	0	-0.003	-0.19	-0.005	0.015	1.676	0	-0.042	-0.179	-0.016	1.561	0	1.024	1.271	1.262	0	1.026	0.867	1.024	0.885	0	0	0.072	0.064	0.019	0.409	0.368	0.609	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.024	4.071	0
Cocaethylene 	0.77999997	1	-0.5128662	0.62118596	0.62589103	-0.40796649	0.694686	0.16	2	-0.88314408	-2.2587729	2.8654191	-0.63359982	0.14731865	-3.03496	0	108.45092	29.416998	33.89946	0	0.89274323	1	32.897186	56.605217	33.326015	144.82114	6.78	0.59	0	2	0	0	0	0	1.89	0.231	7818	0.349	0.196	0.833	1.226	0	0	0	5.039	19.27	0.176	0.113	0.115	0.039	-0.139	0.155	-0.098	-0.161	0.163	-0.41	0.321	0.111	-0.098	-0.159	0.122	-0.41	0.322	-0.106	-0.176	1.36	1.581	0.626	0.816	1.293	0.744	1.366	0.794	0.835	0.979	0.083	0.038	0.022	0.282	0.299	0.565	-74.281	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13	1	7	0	2	0	0	0	0	0	0	1	0	0	0	0	3.17	1.067	0.822	0
Cocaine 	0.88	1	-0.51517975	0.62196952	0.62859821	-0.41133916	0.69619137	0.125	1	-0.88314074	-2.2587693	2.8408403	-0.63359302	0.14748652	-2.7077501	0	79.042473	29.416998	33.89946	0	0.88676995	1	68.281059	56.605217	0	144.82114	6.92	0.6	0	2	0	0	0	0	1.886	0.232	7028	0.359	0.194	1	1.055	0	0	0	5.013	18.181	0.178	0.11	0.115	0.039	-0.146	0.188	-0.154	-0.121	0.178	-0.448	0.401	0.124	-0.153	-0.12	0.154	-0.449	0.404	-0.165	-0.139	1.296	1.629	0.546	0.932	1.231	0.646	1.303	0.701	0.954	0.879	0.085	0.04	0.022	0.302	0.311	0.579	-74.281	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	14	1	4	0	2	0	0	0	0	0	0	1	0	0	0	0	3.17	1.614	0.311	0
Cortisol 	0.5	0	-0.53031886	0.5170567	0.48807678	-0.37206146	0.67249793	0.068965517	4	-0.80083954	-0.9457643	3.400641	-0.53920513	0.14542703	-2.9347701	0	176.10197	0	0	2.2085397	0.77360719	1	3.185575	132.07884	66.652031	149.72202	6.47	0.58	0	3	1	2	0	0	1.783	0.196	27609	0.405	0.215	1	1.052	0	0	0	5.371	9.617	0.158	0.095	0.119	0.041	0.025	-0.02	0.104	-0.417	-0.078	-0.169	-0.043	-0.078	0.104	-0.417	-0.02	-0.169	-0.043	0.104	-0.417	0.974	1.253	1.032	1.161	0.974	0.645	0.974	0.645	1.161	1.639	0.144	0.058	0.032	0.286	0.29	0.607	-63.612	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	16	4	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2.619	1.481	0
Cortisone	0.74000001	0	-0.54734284	0.4278276	0.40845791	-0.33916762	0.6336413	0.068965517	4	-0.79214954	-0.94551897	3.3421454	-0.53901529	0.15684187	-2.8289599	0	158.08495	0	0	2.2085397	0.77360719	1	3.185575	132.07884	66.652031	149.72202	6.68	0.59	0	3	1	2	0	0	1.783	0.196	27609	0.405	0.215	1	1.052	0	0	0	5.442	10.774	0.158	0.095	0.115	0.039	0.025	-0.02	0.104	-0.417	-0.078	-0.169	-0.043	-0.078	0.104	-0.417	-0.02	-0.169	-0.043	0.104	-0.417	0.974	1.253	1.032	1.161	0.974	0.645	0.974	0.645	1.161	1.639	0.144	0.058	0.032	0.286	0.295	0.606	-63.612	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	16	3	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2.322	2.334	1.07	0
Creatinine	0.31	0	-0.31677535	0.33232602	0.31391767	-0.039977357	0.37391925	0	1	-0.84663355	-1.3706009	1.8701049	-0.49571523	0.070483848	-0.23525	0	0	28.631105	0	0	0.69127566	1	49.682716	0	0	0	7.54	0.58	0	0	0	0	0	0	1.6	0.306	164	0.327	0.15	0.333	0.906	0	0	0	1.099	3.068	0.21	0.141	0.084	0.022	-0.485	0.221	0	0	-0.211	0	0	-0.37	0	0	0.34	0	0	0	0	2.253	0	0	0	1.753	0.579	2.308	0.522	0	0	0.101	0	0	0.438	0.386	0.62	-25.309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.585	0.115	0.037	0
DDE	0.61000001	0	-0.64465648	0.70150352	0.85937411	-0.47030169	0.88146323	0.10526316	2	-0.73582429	-0.5896495	2.4676433	-0.39689934	0.4084695	-6.7624002	0	133.09358	0	0	0	0.55730861	1	3.8156381	0	156.59457	141.14548	12.23	0.78	0	2	0	0	0	0	1.8	0.255	2135	0.327	0.173	1	0.946	0	0	0	5.627	23.989	0.187	0.12	0.104	0.033	0.015	0.113	0.929	-0.743	1	1	1	-0.25	0.929	-0.743	0.113	-0.299	-0.357	0.929	-0.743	1.138	1.242	1.366	0.911	0	0.63	1.138	0.63	0.911	2.186	0.085	0.045	0.035	0.325	0.345	0.605	-80.683	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3.807	34.268	35.164	0
Dexamethasone	0.37	0	-0.51543838	0.55147099	0.5065102	-0.38282046	0.67362058	0.064516127	4	-0.79044366	-0.9486618	3.3969519	-0.53789598	0.15361278	-3.1791301	0	189.70193	0	0	18.017035	0.70808786	0.32142857	3.185575	75.473625	114.93816	128.40317	6.89	0.59	0	3	1	2	0	0	1.714	0.182	31795	0.424	0.222	1	1.041	0	0	0	5.673	16.307	0.156	0.091	0.105	0.036	0.024	-0.049	0.182	0.018	-0.14	-0.226	0.125	-0.145	0.189	-0.043	-0.044	-0.226	0.129	0.189	-0.072	1.092	1.269	1.035	0.913	1.05	0.735	1.066	0.724	0.957	1.184	0.164	0.06	0.031	0.27	0.265	0.578	-70.44	14.898	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	16	6	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	2.322	3.439	2.696	0
Dichlorobenzene 	0.98000002	0	-0.66620201	0.67871529	0.95718324	-0.4325445	0.97216678	0	1	-0.73684907	-0.5400762	2.0627494	-0.39814687	0.3730143	-2.8534601	0	63.233978	0	0	0	0.54987007	1	0	0	78.297287	70.572739	12.25	0.77	0	1	0	0	0	0	1.714	0.311	182	0.319	0.127	0.333	0.875	0	0	0	3.446	8.388	0.231	0.15	0.144	0.04	0	-0.2	0	0	1	0	0	-1	0	0	-0.2	0	0	0	0	2.333	0	0	0	0	0.933	2.333	0.933	0	0	0.111	0.111	0	0.363	0.433	0.645	-80.683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.807	12.094	9.978	0
Diclofenac 	0.79000002	0	-0.63549644	0.64566189	0.70440441	-0.39004791	0.92509317	0.2	2	-0.84880835	-1.4896495	2.5105736	-0.458859	0.31485644	-4.7651	0	79.042473	0	0	33.825527	0.51200956	1	18.868406	0	83.810783	142.3707	10.18	0.71	0	2	0	0	0	0	1.81	0.251	3176	0.32	0.174	0.8	1.144	0	32	0	5.426	38.12	0.188	0.124	0.097	0.027	0.003	-0.069	-0.255	0.172	-0.138	0.276	-0.057	-0.135	-0.411	0.912	0.202	0.312	0.022	-0.037	-1.597	0.884	0.882	1.425	1.407	0.956	0.699	1.034	0.579	1.066	4.115	0.082	0.051	0.014	0.294	0.332	0.59	-80.683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	7	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3.807	15.9	13.471	0
Didanosine	0.31	0	-0.612225	0.64313954	0.56640208	-0.47374845	0.76304382	0.10526316	2	-0.82283431	-0.99483097	2.5500875	-0.52753049	0.19415385	-1.42335	0	15.808495	0	12.949531	0	0.76910114	1	16.78553	43.776634	2.3279202	54.522339	8.15	0.62	0	1	1	0	0	0	2	0.255	4416	0.36	0.198	0.8	0.844	0	0	0	5.553	22.2	0.174	0.11	0.082	0.023	-0.304	-0.008	-0.209	-1.148	0.106	-0.127	0.111	0.051	-0.214	-1.146	0.055	-0.133	0.096	-0.139	-1.139	0.898	0.949	0.973	1.405	0.851	0.821	0.904	0.808	1.249	2.358	0.082	0.04	0.018	0.356	0.371	0.616	-40.536	0	0	0	1	0	0	0	0	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2.585	0.422	6.104	0
Ethanol	1.0700001	0	-0.23031633	0.29641473	0.27721819	-0.13424273	0.36044881	0	2	-0.80301636	-0.8735171	1.6047966	-0.51971358	0.051119875	0.28479001	0	29.408449	0	0	0	0.79138678	1	0	0	33.326015	0	5.12	0.48	0	0	0	0	0	0	1.2	0.577	4	0	0	1	0.918	0	0	0	0	0	0	0	0	0	-0.25	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	1.5	0	1.5	0	0	0	0	0	0.253	0.414	0.593	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0
Fenoterol	0.1	1	-0.62631994	0.72085875	0.75319457	-0.50254017	0.83523124	0.26086956	6	-0.8668232	-2.2477257	2.6737945	-0.63577265	0.19876443	-1.96918	0	65.44252	15.158071	20.299505	33.825527	0.6865868	1	18.868406	6.4686494	49.056297	142.3707	6.92	0.6	0	2	0	0	0	0	1.784	0.291	3933	0.312	0.158	0.857	0.688	0	0	0	5.159	28.047	0.2	0.131	0.108	0.035	-0.017	-0.138	-0.028	-0.249	-0.135	0.109	0.243	-0.106	-0.032	-0.25	-0.15	0.09	0.265	0.028	-0.237	1.136	0.96	0.525	0.919	1.175	0.888	1.132	0.918	0.856	1.175	0.072	0.053	0.018	0.32	0.345	0.591	-80.683	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	11	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	4.198	1.224	0
Ganciclovir 	0.17	0	-0.647214	0.71825385	0.5689345	-0.52983403	0.80826056	0.2631579	5	-0.82787693	-1.3707017	2.3566985	-0.52270913	0.21388011	-0.54413003	0	0	42.23106	12.949531	0	0.65856391	1	16.78553	0	22.825352	37.282959	8.23	0.59	0	1	1	0	0	0	1.8	0.27	3040	0.346	0.179	0.8	1.761	0	0	0	5.106	16.628	0.185	0.119	0.073	0.018	-0.371	0.011	0.041	-0.983	0.14	-0.021	-0.019	0.1	0.031	-0.976	0.096	-0.015	-0.027	0.157	-1.044	0.865	0.869	1.074	1.012	0.821	0.76	0.87	0.751	0.862	2.039	0.085	0.046	0.017	0.348	0.367	0.601	-40.536	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2.322	0.145	10.583	0
Glucose 	0.25999999	0	-0.72749263	0.77480048	0.5594095	-0.6012705	0.86306638	0.083333336	2	-0.79205549	-0.95309973	2.2965975	-0.52353656	0.25180578	1.2499501	0	0	0	14.708499	0	0.50093192	1	0	0	0	0	7.51	0.53	0	1	0	0	0	0	1.565	0.263	496	0.381	0.173	0.5	1.124	0	0	0	2.944	0	0.204	0.125	0.085	0.025	-0.167	-0.294	0	0	-0.167	0.2	1	-0.167	0	0	-0.294	0.2	1	0	0	1.069	0.733	0	0	1.069	1.186	1.069	1.186	0	0	0.131	0.076	0	0.426	0.347	0.604	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.165	6.317	0
Hydralazine 	0.61000001	0	-0.65012759	0.66233116	0.69310546	-0.47566402	0.83265865	0.07692308	1	-0.8444584	-1.4017352	2.2903285	-0.45417702	0.22126155	-2.00951	1	67.651054	0	0	21.480953	0.66588974	1	0	0	2.3279202	87.787094	8.01	0.66	0	2	0	1	0	0	2	0.265	1162	0.349	0.2	1	0.896	0	0	0	5.577	23.533	0.185	0.123	0.074	0.021	0.385	0.059	0	0	-0.5	-1	-1	-0.5	0	0	0.059	-1	-1	0	0	1.547	2.063	2.063	0	1.547	0.728	1.547	0.728	0	0	0.078	0.04	0.04	0.342	0.375	0.628	-65.587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	4	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	3.585	3.717	0.594	0
Indinavir 	0.38999999	2	-0.51902312	0.61325753	0.53896332	-0.41042772	0.71358627	0.22448979	6	-0.87539989	-2.2784307	3.1215389	-0.64177942	0.16069871	-4.6572199	0	151.45932	12.949531	121.14661	148.90207	0.62688547	1	37.736813	22.850374	118.41763	303.54852	6.55	0.6	0	4	1	0	0	0	1.908	0.201	51150	0.32	0.179	0.9	0.906	0	0	0	5.8	46.614	0.181	0.118	0.112	0.039	-0.09	-0.002	-0.184	-0.095	-0.154	-0.091	0.103	-0.179	-0.184	-0.094	-0.014	-0.109	0.104	-0.175	-0.102	1.405	1.431	1.02	1.208	1.351	0.772	1.41	0.854	1.166	1.286	0.061	0.037	0.018	0.196	0.262	0.548	-74.299	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	25	1	13	0	0	0	0	0	1	0	0	2	0	0	0	0	4.392	31.845	0.005	0
Indomethacin 	0.72000003	0	-0.58427703	0.54596788	0.61825049	-0.35277045	0.84474081	0.18518518	2	-0.8487916	-1.4897114	2.7035847	-0.48363331	0.19305076	-5.11338	0	119.56755	12.949531	0	2.2085397	0.76923358	1	54.252274	0	77.718086	142.3707	8.92	0.68	0	2	1	0	0	0	1.807	0.219	10064	0.345	0.191	1	1.157	0	39	0	6.503	45.975	0.172	0.105	0.086	0.024	-0.013	-0.023	-0.028	-0.341	-0.221	0.007	-0.253	-0.208	0.635	-0.521	0.147	0.047	-0.336	0.752	-0.189	0.404	0.404	0.636	0.889	1.123	0.634	1.056	0.612	0.565	1.416	0.08	0.05	0.021	0.304	0.34	0.584	-68.262	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	10	5	0	0	1	0	0	0	0	0	0	1	0	0	0	0	4.087	10.521	1.447	0
L_Alpha_acetyl_N_normethadol	0.80000001	1	-0.52469802	0.62238705	0.67191881	-0.42233852	0.73960668	0.30769232	7	-0.87510324	-2.2475741	3.0343139	-0.63646835	0.16730061	-4.1529698	0	45.216946	21.408051	33.89946	162.50203	0.51456821	0.12	32.897186	37.736813	99.978043	214.16866	6.19	0.59	0	2	0	0	0	0	1.796	0.192	3140	0.334	0.204	1	1.6	0	0	0	5.57	20.621	0.173	0.107	0.11	0.036	-0.067	0.232	0	-0.292	-0.09	-0.034	-0.161	-0.087	-0.002	-0.292	0.2	-0.029	-0.166	0.036	-0.278	0.93	1.068	1.14	1.2	0.927	0.771	0.93	0.776	1.193	1.832	0.089	0.034	0.017	0.23	0.256	0.533	-80.683	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	15	3	7	0	1	0	0	0	0	0	0	1	0	0	0	0	3.807	0.377	8.831	0
L_Alphacetylmethadol	0.94999999	1	-0.52469802	0.61979371	0.67060894	-0.39903086	0.72456014	0.2962963	7	-0.88641036	-2.2596292	3.0710001	-0.63055134	0.15839325	-4.2839198	0	45.216946	14.708499	67.79892	162.50203	0.54915053	0.11538462	65.794373	37.736813	99.978043	214.16866	6.11	0.59	0	2	0	0	0	0	1.763	0.189	3372	0.335	0.194	1	1.598	0	0	0	5.6	20.272	0.175	0.106	0.114	0.036	-0.088	0.234	0.023	-0.263	-0.09	-0.026	-0.156	-0.087	0.021	-0.264	0.203	-0.021	-0.16	0.055	-0.25	0.945	1.053	1.167	1.037	0.942	0.756	0.945	0.761	1.031	1.752	0.096	0.033	0.019	0.231	0.247	0.528	-80.683	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	3	18	3	7	0	1	0	0	0	0	0	0	1	0	0	0	0	3.807	0.687	10.097	0
