CI	ast_fraglike	ast_fraglike_ext	ast_violation	a_don	a_ICM	BCUT_SLOGP_1	BCUT_SLOGP_3	BCUT_SMR_0	b_1rotN	b_double	chiral_u	density	FCharge	GCUT_PEOE_1	GCUT_PEOE_2	GCUT_SLOGP_1	GCUT_SLOGP_2	GCUT_SMR_1	lip_violation	logP.o.w.	opr_leadlike	PEOE_PC.	PEOE_PC..1	PEOE_RPC.	PEOE_RPC..1	PEOE_VSA.1	PEOE_VSA.2	PEOE_VSA.3	PEOE_VSA.4	PEOE_VSA.1.1	PEOE_VSA.2.1	PEOE_VSA.3.1	PEOE_VSA.4.1	PEOE_VSA.5.1	PEOE_VSA.6.1	PEOE_VSA_FHYD	PEOE_VSA_FPNEG	PEOE_VSA_FPPOS	PEOE_VSA_NEG	PEOE_VSA_PNEG	PEOE_VSA_POL	PEOE_VSA_PPOS	reactive	SlogP_VSA0	SlogP_VSA1	SlogP_VSA2	SlogP_VSA3	SlogP_VSA4	SlogP_VSA6	SMR_VSA1	SMR_VSA2	SMR_VSA3	SMR_VSA4	vsa_acc	vsa_base	vsa_don	vsa_other	vsa_pol	Ms	ARR	nCIR	nAB	nH	nN	nO	nR05	nR07	nR08	TI2	J	Jhetp	MAXDN	MAXDP	S3K	PW2	D.Dr05	D.Dr06	D.Dr08	D.Dr09	D.Dr10	T.Cl..Cl.	SRW05	MPC10	PCR	X0Av	X1Av	ATS7m	MATS3m	MATS4m	MATS5m	MATS1v	MATS2v	MATS3v	MATS8v	MATS3p	MATS4p	GATS1m	GATS2m	GATS3m	GATS8m	GATS3v	GATS8v	GATS3e	GATS5e	GATS7e	GATS8e	GATS1p	GATS3p	JGI1	JGI3	JGI5	JGI7	JGI8	JGI9	JGI10	JGT	DP20	J3D	PJI3	L.Bw	AROM	DISPm	DISPv	DISPe	G.N..N.	G.N..O.	G.N..S.	G.N..Cl.	G.O..O.	G.S..S.	nCs	nCrs	nCrt	nCbH	nCb.	nCconj	nArCOOR	nRCONH2	nRCONHR	nRCONR2	nROCON	nArCO	nC..N.N2	nArNH2	nArNHR	nRNR2	nArOH	nOHp	nOHs	nOHt	nRSR	nArX	nBeta.Lactams	nOxolanes	nThiazoles	nHBonds	C.003	C.007	C.008	C.009	C.011	C.016	C.017	C.018	C.019	C.025	C.028	C.031	C.032	C.033	C.037	C.040	C.041	C.043	C.044	H.048	H.049	H.053	O.056	O.059	N.066	N.067	N.068	N.072	N.074	Cl.089	S.107	S.108	S.110	Hy	MLOGP	ALOGP	LAI	GVWAI.50	Inflammat.80	Inflammat.50	Depressant.80	Psychotic.80	Hypertens.80	Hypertens.50	Hypnotic.80	Hypnotic.50	Neoplastic.80	Neoplastic.50	Infective.50	ALOGPS_logP	ALOGPS_logS
0.72000003	0	0	1	2	1.5402844	-0.49557349	2.535804	-2.4234798	6	1	0	0.78734416	0	-0.42429781	0.034734476	-0.32881624	0.13525872	-0.19207267	0	1.9349999	1	1.8004496	-1.8004496	0.15263738	0.18200095	42.157127	119.38764	35.658428	0	0	0	5.6825762	11.365152	13.566921	2.503756	0.89077336	0.074203216	0.035023428	33.118404	27.435829	40.385361	12.949531	0	14.124202	43.179379	16.78553	92.197891	26.618963	0	30.909731	19.909843	8.0001755	27.812519	21.753254	0	11.365152	24.140093	33.118404	2.13	0.387	5	12	25	5	2	1	0	0	4.598	1.267	1.037	1.636	5.953	3.928	0.572	62.828	268.891	0	121.551	0	0	10	150	1.398	0.583	0.312	3.414	0.062	-0.3	0.083	-0.265	-0.072	0.111	-0.145	0.133	-0.335	1.035	0.87	0.89	1.495	0.861	1.41	0.893	0.867	0.666	1.504	1.142	0.848	0.161	0.047	0.025	0.013	0.01	0.006	0.007	0.402	0.602	3.49	0.908	5.99	1	3.443	2.709	0.088	23.733	42.065	0	0	4.652	0	0	0	0	3	3	3	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0.247	1.961	0.725	0	0	0	0	0	0	1	0	0	0	1	0	0	2.93	-4
0.73000002	1	0	0	1	1.2850542	-0.38292715	2.7062478	-2.6098289	5	1	1	0.72293788	1	-0.30667597	0.056772377	-0.26649007	0.09425389	-0.18330559	0	4.0320001	1	1.5983546	-0.59835458	0.2008218	0.44024998	54.125034	0	0	0	0	0	0	5.6825762	13.566921	0	0.73961473	0.063049532	0.19733576	71.092056	19.249496	79.497589	60.248093	0	3.1243138	23.269535	27.844185	36.879158	6.37115	0	0	0	10.353119	20.767498	13.566921	0	5.6825762	12.949531	19.249496	1.98	0.273	2	6	29	2	1	0	0	0	3.837	1.91	1.607	1.46	5.714	4.149	0.563	0	143.833	0	0	0	0	0	40	1.283	0.655	0.386	3.164	0.14	-0.291	-0.324	-0.117	0.098	0.167	0.157	0.178	-0.301	0.782	0.791	0.986	0	1.021	0	0.982	2.071	0.52	0	0.912	1.04	0.159	0.05	0.025	0.009	0.011	0.008	0.004	0.418	0	6.319	0.852	2.05	1	3.502	4.409	0.02	2.183	1.65	0	0	0	0	6	4	0	3	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.237	-0.569	2.856	0	1	1	0	1	1	1	1	0	0	1	1	0	3.53	-5.77
0.28999999	0	0	2	2	1.3089962	-0.34896421	3.0101974	-2.79689	4	0	7	0.78982693	1	-0.35034984	-0.045857258	-0.30693623	-0.037	-0.19033474	0	4.8249998	0	2.2359028	-1.2359029	0.12856826	0.28593051	36.034069	16.917038	44.116947	6.6995511	0	0	13.566921	13.566921	0	5.0075121	0.83902723	0.045390032	0.11558271	50.15839	18.574432	65.872993	47.298565	0	64.894653	0	21.450506	36.879158	15.192742	0	61.77034	8.8215923	27.308624	0	5.0075121	0	0	0	32.141354	1.95	0.15	38	6	42	1	4	1	0	1	1.867	1.418	1.252	2.149	6.202	2.432	0.637	35.751	283.029	63.536	274.895	390.398	0	50	1259	1.15	0.636	0.345	4.058	0.036	-0.074	-0.007	-0.075	-0.099	0.024	0.049	0.018	-0.084	0.762	0.876	0.971	1.069	0.987	1.039	0.97	1.018	0.787	1.072	0.8	0.995	0.287	0.053	0.038	0.022	0.018	0.012	0.01	0.652	0.025	3.329	0.924	2.59	0.972	3.036	2.929	0.084	0	15.866	0	0	17.287	0	9	9	3	2	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	2	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0.724	0.122	2.337	0	0	0	0	0	0	0	0	0	0	0	0	0	2.68	-6.64
0.039999999	0	0	2	3	1.945895	-0.53807992	2.6227577	-2.4045174	10	7	3	0.94855386	-1	-0.4883334	0.069132499	-0.41690442	0.090575546	-0.22510025	2	-1.533	0	3.4117076	-4.4117079	0.10227847	0.12310857	56.977161	69.35704	42.575073	26.565727	19.760618	29.181658	13.566921	24.932074	54.267685	27.133842	0.63705277	0.19092642	0.17202079	197.37035	106.3336	202.13799	95.80439	0	104.09007	88.222588	125.64017	89.785866	3.185575	0	86.278717	36.714581	24.68239	0	130.7085	0	11.365152	97.113792	155.64056	2.78	0.125	6	6	26	9	8	1	0	1	5.891	1.227	1.036	3.211	6.548	6.37	0.595	143.743	485.929	199.343	0	0	0	10	294	1.228	0.568	0.32	4.685	-0.118	0.18	0.066	-0.097	0.123	0.067	0.273	0.06	-0.169	1.029	0.968	1.354	0.746	0.857	0.802	0.881	0.968	1.079	0.851	0.798	0.97	0.188	0.063	0.03	0.015	0.012	0.011	0.008	0.489	6.288	2.796	0.863	6.43	1	10.317	6.457	0.253	188.576	357.819	71.703	0	120.817	2.858	2	1	0	4	2	6	0	0	1	2	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	2	0	0	2	1	0	0	1	0	1	1	0	0	0	0	0	5	2	0	0	1	0	0	0	0	0	0	0	5	0	0	2	0	0	0.899	0.802	-0.499	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.12	-3.03
0.2	0	0	2	2	1.8796548	-0.59601933	2.6575398	-2.4017172	7	5	2	0.92002994	0	-0.45429191	0.064077832	-0.40223807	0.10080343	-0.21739471	2	1.419	0	3.1438885	-3.1438885	0.11062659	0.1727531	92.884308	0	41.835335	42.357979	17.742489	30.64588	0	17.267511	27.133842	27.133842	0.581379	0.16600658	0.25261441	137.70811	71.535194	180.39125	108.85606	1	95.490372	34.648167	89.134506	17.233564	8.69907	0	39.309704	18.01075	20.97049	0.50074643	70.835518	0	23.425066	66.376099	94.26059	2.53	0.282	7	11	22	6	5	2	0	1	4.911	1.217	1.065	3.073	6.014	4.455	0.587	188.694	203.328	140.614	152.022	0	0	20	272	1.3	0.582	0.331	4.356	-0.06	-0.021	0.093	-0.058	0.032	0.083	-0.28	0.082	-0.094	0.999	0.949	0.835	0.787	0.775	1.47	0.804	1.074	1.142	1.517	0.765	0.74	0.167	0.064	0.029	0.016	0.013	0.01	0.007	0.444	2.549	2.676	0.982	5.93	1	6.726	1.445	0.283	51.27	105.027	32.244	0	32.497	4.292	4	4	0	0	0	5	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	1	0	1	1	2	0	0	1	0	3	0	0	1	2	1	0	0	0	0	0	0	2	1	0	2	0	0	0.933	1.356	0.506	1	0	0	0	0	0	0	0	0	0	0	0	0	2.16	-3.48
0.12	0	0	2	2	2.0650063	-0.6086002	2.5937462	-2.3914065	5	5	2	1.0021749	-1	-0.520832	0.078832388	-0.4282864	0.12016232	-0.21712244	0	-0.40200001	1	1.9789881	-2.9789879	0.14995731	0.18231332	59.058781	0	35.13578	42.357979	17.742489	30.64588	0	17.267511	27.133842	27.133842	0.55757499	0.22639997	0.21602502	137.70811	71.535194	139.79224	68.257042	1	93.591278	34.648167	89.134506	17.233564	2.7567475	0	39.309704	18.01075	11.842591	0.50074643	70.835518	0	23.425066	66.376099	94.26059	2.86	0.185	4	5	12	5	5	1	0	1	4.082	1.606	1.29	3.094	5.46	3.327	0.584	74.67	76.222	103.311	0	0	0	10	96	1.234	0.576	0.328	3.748	-0.067	-0.087	0.085	-0.071	-0.012	0.06	-0.147	0.075	-0.111	1.085	1.061	0.758	1.028	0.799	1.17	0.89	1.202	0.881	1.095	0.765	0.688	0.185	0.08	0.034	0.015	0.012	0.01	0.009	0.497	0.037	3.254	0.897	4.22	1	3.8	4.032	0.204	29.062	87.097	24.962	0	32.497	3.55	1	1	0	0	0	5	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	3	0	0	1	2	0	0	0	0	0	0	0	2	1	0	2	0	0	1.203	0.155	-1.054	0	0	0	0	0	0	0	0	0	0	1	0	0	0.71	-3.16
0.82999998	1	0	0	1	1.6020255	-0.27185699	2.4166977	-2.5162554	6	1	0	0.83228093	1	-0.35376719	0.028796857	-0.20422943	0.12371764	-0.14870211	0	2.3610001	1	1.8458315	-0.84583151	0.1734947	0.34405881	72.244736	0	0	22.058474	29.581947	17.742489	0	0	16.070677	0	0.59485686	0.057245858	0.34789729	63.395115	16.070677	113.73617	97.665489	0	36.0215	7.7454643	10.999887	76.244995	27.047791	3.5006065	0	0	6.6861815	2.7567475	13.566921	0	17.742489	17.212255	31.30941	2.39	0.333	1	6	20	2	2	0	0	0	4.42	2.252	1.726	2.063	4.778	4.698	0.561	0	67.861	0	0	0	0	0	15	1.29	0.648	0.371	2.868	-0.139	0.077	-0.087	-0.185	0.101	-0.005	0.113	0.064	-0.733	0.557	0.83	1.186	1.509	0.956	0.252	1.168	1.401	0.789	0.543	0.903	0.882	0.222	0.06	0.031	0.015	0.01	0.01	0.014	0.511	0.017	6.052	1	9.33	1	8.821	8.014	0.174	5.949	12.72	0	6.158	0	0	0	0	0	3	3	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1.197	-1.03	0.879	0	0	0	0	0	0	1	0	1	0	1	1	1	1.85	-5.05
0.30000001	0	0	2	4	1.6283622	-0.29995275	2.5565505	-2.2010956	5	1	0	0.84506965	0	-0.3648968	0.065612294	-0.30178493	0.15411866	-0.15069592	0	-0.278	1	1.3577837	-1.3577837	0.18624267	0.17305216	60.59211	38.084061	58.68998	24.790518	0	25.443193	17.742489	22.730305	0	0	0.76037389	0.086179867	0.15344623	65.915985	22.730305	63.202396	40.472092	0	36.0215	18.684622	16.78553	82.905418	5.513495	0	64.630417	52.80703	21.686415	0	23.425066	0	11.365152	65.262611	46.155369	2.31	0	1	0	16	6	0	1	0	0	5.303	1.961	1.796	1.163	2.427	5.115	0.534	56.919	0	0	0	0	0	10	15	1.234	0.638	0.379	2.661	-0.028	-0.26	0.087	-0.38	0.492	-0.442	0.18	-0.451	0.1	1.092	0.902	1.325	0.035	1.324	0.768	1.155	0.908	1.122	0.851	1.009	1.509	0.147	0.046	0.015	0.01	0.012	0.008	0.007	0.355	0.006	5.673	0.889	7.69	0	2.498	1.201	0.096	48.093	0	17.351	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	2	0	0	3	0	1	0	0	1.366	0.821	-1.062	0	0	0	0	0	0	0	0	0	0	1	0	0	0.44	-2.49
0.059999999	1	1	0	1	1.7499025	-0.69973874	2.6145556	-2.3479862	2	3	2	0.97903311	-1	-0.51329452	0.08278273	-0.47881594	0.019083738	-0.25109485	0	-1.072	1	1.1821038	-2.1821036	0.2033143	0.25060827	23.167019	15.808495	6.6995511	47.957535	0	0	0	13.566921	13.566921	29.637598	0.36990929	0.34155932	0.28853139	56.771439	56.771439	104.72897	47.957535	1	68.068573	9.847106	68.746109	20.926258	0	0	28.509541	0	15.265219	0	43.204517	0	0	40.607563	56.771439	3.23	0	3	0	8	1	5	1	1	0	1.7	2.054	1.564	3.055	4.042	1.281	0.582	30.141	0	0	0	0	0	10	3	1.139	0.51	0.275	1.021	-0.139	0.014	-0.211	-0.221	-0.044	-0.107	0	-0.091	-0.012	0.947	0.868	0.969	0	0.948	0	0.971	1.274	0	0	1.017	0.938	0.2	0.095	0.038	0	0	0	0	0.489	0	3.96	0.827	2.67	0	3.819	2.734	0.15	0	7.277	0	0	26.056	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	-0.027	-0.154	-2.018	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.37	0.41
0.77999997	0	0	1	0	1.4461261	-0.49720827	2.7852435	-2.578944	4	2	4	0.799586	1	-0.3711586	0.07302352	-0.27821112	0.13241875	-0.20553564	0	2.7639999	1	2.2436657	-1.2436658	0.16280092	0.24214409	33.825527	24.267014	24.267014	13.399102	0	0	0	0	29.637598	2.503756	0.63674086	0.10725676	0.25600237	32.141354	32.141354	108.85692	76.715561	0	3.1243138	15.490929	60.294579	20.926258	31.458588	0	0	4.4107962	17.618162	0	27.133842	0	0	34.424511	27.133842	2.3	0.24	4	6	24	1	4	1	1	0	3.44	1.672	1.241	2.024	5.433	3.228	0.576	54.916	141.078	0	0	0	0	10	83	1.215	0.597	0.342	3.378	-0.244	0.116	-0.407	-0.152	0.133	-0.246	-0.171	-0.246	0.186	0.882	0.746	1.191	0.945	1.184	0.967	1.192	1.582	0.815	0.943	0.928	1.179	0.16	0.059	0.03	0.015	0.007	0.007	0.008	0.428	0.002	4.57	0.929	4.39	1	3.051	4.626	0.049	0	10.672	0	0	8.202	0	6	6	1	5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	-0.326	-1.033	0.907	0	0	0	0	0	0	1	0	0	0	1	1	0	1.24	-5.15
0.88	0	0	1	0	1.4686506	-0.49723175	2.7849569	-2.5786014	3	2	4	0.8076089	1	-0.37465954	0.073026456	-0.28336805	0.13246888	-0.20556659	0	2.4230001	1	2.2409313	-1.2409314	0.16299957	0.24142846	33.825527	24.267014	37.86697	13.399102	0	0	0	0	32.141354	0	0.61651045	0.11323003	0.2702595	32.141354	32.141354	108.85692	76.715561	0	3.1243138	15.490929	60.294579	0	31.458588	0	0	4.4107962	17.618162	0	27.133842	0	0	34.424511	27.133842	2.34	0.25	4	6	22	1	4	1	1	0	3.387	1.671	1.256	2.029	5.304	2.877	0.582	51.76	133.511	0	0	0	0	10	76	1.214	0.592	0.331	3.232	-0.249	0.129	-0.444	-0.16	0.166	-0.251	-0.133	-0.251	0.201	0.887	0.65	1.183	0.835	1.176	0.864	1.183	1.63	0.93	0.832	0.934	1.171	0.167	0.057	0.032	0.013	0.008	0.009	0.012	0.445	0.002	4.328	0.925	5.34	1	4.174	5.73	0.041	0	10.672	0	0	8.202	0	6	6	1	5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	-0.31	-1.27	0.558	0	0	0	0	0	0	1	0	1	0	1	1	0	0.83	-5.01
0.5	0	0	2	3	1.3242295	-0.49202126	3.0161693	-2.6915214	2	3	7	0.82953542	0	-0.39306736	0.024856439	-0.36140192	-0.0054867743	-0.23374221	0	1.0140001	1	1.2770022	-1.2770022	0.19452335	0.22815825	15.808495	0	16.917038	30.516994	0	0	0	40.700764	27.133842	0	0.68210882	0.2192544	0.098636754	70.043144	67.834602	98.351601	30.516994	1	76.155678	11.375222	54.193081	20.926258	13.232388	0	76.155678	13.232388	9.6542244	0	27.133842	0	0	16.917038	67.834602	2.46	0	10	0	30	0	5	1	0	0	2.111	1.677	1.632	2.794	5.362	2.239	0.623	37.415	125.669	0	61.884	139.176	0	10	291	1.083	0.604	0.343	3.386	0.1	-0.078	-0.169	0.025	-0.02	0.1	-0.417	0.1	-0.078	0.534	0.645	0.682	1.639	0.682	1.639	0.682	1.253	1.161	1.639	0.534	0.682	0.293	0.074	0.035	0.02	0.017	0.011	0.011	0.695	0.038	4.329	0.915	5.83	0	0.71	3.008	0.098	0	0	0	0	41.205	0	8	8	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	2	3	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0.898	1.618	1.217	0	0	0	0	0	0	1	1	0	0	1	0	0	1.79	-3.26
0.74000001	0	0	2	2	1.3390682	-0.47902787	2.997257	-2.6505721	2	4	6	0.82953542	0	-0.4119018	0.0012982372	-0.35479799	-0.0071521001	-0.23383415	0	0.44600001	1	1.3495913	-1.3495913	0.18406083	0.21937044	33.825527	0	16.917038	30.516994	0	0	0	27.133842	40.700764	0	0.68210882	0.2192544	0.098636754	70.043144	67.834602	98.351601	30.516994	1	50.770454	17.062834	71.586647	20.926258	13.232388	0	50.770454	13.232388	3.185575	0	40.700764	0	0	25.375559	67.834602	2.52	0	10	0	28	0	5	1	0	0	2.111	1.677	1.656	2.855	6.32	2.172	0.623	37.415	125.669	0	61.884	139.176	0	10	291	1.093	0.599	0.338	3.386	0.1	-0.078	-0.169	0.025	-0.02	0.1	-0.417	0.1	-0.078	0.534	0.645	0.682	1.639	0.682	1.639	0.682	1.253	1.161	1.639	0.534	0.682	0.293	0.074	0.035	0.02	0.017	0.011	0.011	0.695	0.038	4.205	0.909	5.93	0	1.645	2.538	0.109	0	0	0	0	41.205	0	7	7	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	3	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0.213	1.528	1.034	0	0	0	0	0	0	1	1	0	0	1	1	0	1.98	-3.42
0.31	1	1	0	1	1.7464658	-0.23749202	2.2916505	-2.1434391	0	2	0	0.89582068	0	-0.40687478	0.03552964	-0.37445402	-0.0066	-0.12778342	0	-0.39399999	1	0.8556329	-0.8556329	0.32848158	0.35835668	0	33.89946	20.299505	0	0	17.742489	5.6825762	0	13.566921	0	0.64782757	0.11322557	0.23894687	36.991985	13.566921	42.198025	28.631105	0	32.897186	10.28219	23.862217	18.439579	0	0	19.909843	0	0	32.897186	19.249496	0	17.742489	28.631105	36.991985	2.85	0	1	0	7	3	1	1	0	0	1.017	2.388	1.766	1.829	3.355	0.935	0.592	19.067	0	0	0	0	0	10	0	1.148	0.573	0.285	0	-0.263	-0.353	0	-0.592	0.305	-0.314	0	-0.338	-0.155	1.131	0.574	1.162	0	1.187	0	1.159	0	0	0	1.347	1.2	0.313	0.131	0	0	0	0	0	0.544	0	4.64	0.675	2.25	0	5.626	3.957	0.189	0	5.039	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1.083	-0.339	-0.193	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.77	-0.28
0.61000001	0	0	2	0	1.4195563	-0.52229112	2.4047797	-1.9108773	2	1	0	0.9478578	0	-0.38394278	0.061178748	-0.23891176	0.40972814	-0.1762837	1	6.8973598	1	0.30413747	-0.30413747	0.37760943	0.27041867	9.0394926	6.8309531	0	0	118.32779	0	0	0	0	0	1	0	0	118.32779	0	0	0	1	0	0	0	3.185575	6.37115	7.0012131	0	3.185575	17.188002	0	0	0	0	6.8309531	0	2.36	0.632	2	12	8	0	0	0	0	0	2.579	1.949	2.563	1.459	1.86	3.428	0.582	0	122.631	0	0	0	38	0	24	1.417	0.675	0.351	3.945	-0.11	-0.25	-0.299	1	1	1	1	-0.11	-0.25	0.575	0.63	0.841	2.186	0	0	0.841	1.242	0.911	2.186	0.575	0.841	0.211	0.058	0.021	0.014	0.01	0.026	0	0.506	0	4.02	0.803	2.33	1	3.075	1.782	0.079	0	0	0	0	0	0	0	0	0	8	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	-0.763	5.854	5.93	0	0	0	0	0	0	0	0	0	0	0	0	0	6.22	-6.64
0.37	0	0	2	3	1.4364237	-0.46517548	2.9975088	-2.671762	2	4	8	0.85443532	0	-0.41025048	0.032483771	-0.34128129	0.00077885773	-0.22400635	0	2.151	1	1.5166826	-1.5166826	0.16378292	0.19168906	0	0	16.917038	30.516994	0	0	0	52.609398	27.133842	0	0.67076302	0.23811327	0.09112373	97.760277	79.74324	110.26023	30.516994	1	76.155678	11.375222	54.193081	20.926258	13.232388	0	91.115791	13.232388	9.6542244	0	27.133842	0	0	16.917038	67.834602	2.67	0	10	0	29	0	5	1	0	0	2.028	1.769	1.692	3.23	8.859	2.104	0.633	40.545	138.214	0	67.71	153.146	0	10	332	1.135	0.593	0.327	3.59	0.018	-0.15	-0.227	0.026	-0.043	0.044	-0.081	0.042	-0.141	0.546	0.76	0.988	1.002	0.865	1.201	0.907	1.269	0.943	1.129	0.553	0.875	0.323	0.083	0.041	0.021	0.015	0.013	0.009	0.758	0.009	4.533	0.794	5.03	0	3.035	4.835	0.096	0	0	0	0	38.591	0	5	5	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	3	3	0	1	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0.882	1.855	1.642	0	0	1	0	0	0	1	1	0	0	1	0	0	1.93	-3.89
0.98000002	1	1	0	0	1.4591479	-0.45943233	2.3374765	-1.7871422	0	0	0	0.95968264	0	-0.40251675	0.0664308	-0.21528791	0.37807593	-0.17419454	0	3.0880001	1	0.16272944	-0.16272944	0.41908732	0.5	9.0394926	0	0	0	59.163895	0	0	0	0	0	1	0	0	59.163895	0	0	0	0	0	0	0	0	0	7.0012131	0	0	7.0012131	0	0	0	0	0	0	2.44	0.75	1	6	4	0	0	0	0	0	0.854	2.279	3.292	1.061	1.466	1.38	0.567	0	22.133	0	0	0	3	0	0	1.378	0.697	0.37	0	0	-1	0	1	1	1	0	0	-1	0.583	0.933	1.167	0	0	0	1.167	0	0	0	0.583	1.167	0.188	0.047	0	0	0	0	0	0.457	0	4.002	0.333	2.18	1	10.986	6.682	0.283	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	-0.71	3.478	3.159	0	0	0	0	0	0	0	0	0	0	0	0	0	3.45	-3.05
0.79000002	0	0	1	1	1.7365241	-0.45287627	2.4656687	-2.0342078	4	1	0	0.90276825	-1	-0.4900023	0.059772551	-0.28882408	0.19515647	-0.1782252	0	4.3520002	1	0.43386811	-1.4338682	0.17708281	0.38275576	52.955589	0	0	0	59.163895	0	5.6825762	0	0	27.133842	0.89475006	0.10524993	0	125.80584	27.133842	27.133842	0	0	42.683342	19.474758	23.862217	0	3.185575	7.0012131	0	0	10.186788	23.524246	27.133842	0	5.6825762	14.708499	32.816418	2.64	0.6	2	12	10	1	2	0	0	0	3.269	1.936	1.911	2.806	3.716	3.475	0.575	0	122.315	0	0	0	4	0	32	1.544	0.595	0.315	3.224	-0.11	0.228	-0.109	-0.032	0.214	-0.127	-0.857	-0.198	0.024	0.531	0.776	1.095	1.471	0.778	3.55	0.755	1.007	1.493	1.399	0.558	0.952	0.2	0.044	0.024	0.022	0.005	0.016	0	0.459	0	4.29	0.803	1.35	1	4.573	1.821	0.186	0	3.008	0	3.3	0	0	1	0	0	7	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	-0.249	3.988	3.67	0	0	1	1	0	0	1	0	1	0	1	0	1	4.39	-4.87
