NOM;MOL_ID;CI;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m;X5sol;XMOD;RDCHI;RDSQ;ATS1m;ATS2m;ATS3m;ATS4m;ATS5m;ATS6m
Bisheteroypiperazine ;C21H25O2N5;0.72000003;379.51;7.16;32.97;53;34.55;59.67;0.62;1;0.65;2.13;53;28;56;31;14;39;387;4;5;5;89;2;0;12;25;21;5;2;0;0;0;0;0;0;0;0;0;0;1;3;0;0;1;0;0;0;1;148;369;176;386;21;20978;2;2115;218;60.5;9;45;141851;161857;255;9886;15446;10434;24972;26953;12217;2266;5995;53.44;106307;1680.356;148556;4598;6951;10454;64077;4013;28348;21361;216385;25859;1841.018;1841.21;2571.838;1846.696;2764.687;1267;1547;1547;1114;1542;1037;1636;5953;22382;41685;126606;18937;8.31;3928;5621;936;572;349;193;107;1;745;343;12.25;1964;28.49;119;1200;118;15;961;3071;0;0;62828;268891;0;0;121551;0;0;0;46;70;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;5004;5866;6746;7626;8512;9397;10286;11173;12063;135675;28;62;0;234;10;1076;112;5394;936;28252;31;43;59;77;97;105;121;134;137;150;3689;4234;4796;5305;5798;5968;6266;6531;6566;6693;125138;174886;1398;49748;57746;28206;19.51;13.69;11.87;10573;8767;7166;697;442;276;179;114;74;16312;9669;6923;5183;3718;2572;583;312;161;88;48;27;19.51;13.69;11.87;10573;8767;7166;86.3;4019;242989;3555;3.88;3935;3839;3741;3561
Bupivacaine;C18H29ON2;0.73000002;289.49;5.79;28.57;48.96;30.74;41.67;0.57;0.98;0.61;1.98;50;21;51;22;7;26;273;2;2;5;98;1;0;6;29;18;2;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;102;192;117;199;12;14216;1826;1968;265;44;6;31;94371;91238;252;3950;5208;3846;6404;20664;11.08;958;4562;36976;69406;831667;33605;3837;3584;3290;43968;1672;9397;20817;130153;3900;823595;823652;1062.803;825649;1127.069;1.91;2226;2226;1707;2.22;1607;1.46;5714;13.82;41853;82239;16193;7721;4149;5953;1159;563;334;0.18;97;833;367;180;8571;1306;15107;64;572;72;20;1292;2506;0;0;0;143833;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;4635;5.46;6312;7159;8018;8872;9734;10591;11454;115233;21;44;0;160;0;710;0;3472;0;17824;22;29;37;45;52;47;46;44;44;40;3296;3.75;4171;4579;4.95;4.86;4834;4975;5112;5063;77.7;99665;1283;21965;42009;21265;15242;10.13;8613;7052;5.63;4321;726;0.46;297;191;125;83;13745;8502;6549;4904;3592;2548;655;386;226;133;0.08;49;15242;10.13;8613;7052;5.63;4321;62342;3.25;151706;3185;3467;3548;3455;3.39;3277
Buprenorphine ;C29H42O4N;0.28999999;468.72;6.17;44.3;75.02;47.43;66.42;0.58;0.99;0.62;1.95;76;34;82;40;6;43;0.15;7;38;5;61;0;0;6;42;29;1;4;0;0;0;0;0;0;0;0;1;0;1;6;0;1;4;5;4;1;1;220;370;293;420;45;25.83;1915;2138;197;72.5;19;86;170602;154353;155;11944;15615;12998;21799;29336;19363;2624;4677;79173;168688;1735.148;244937;1867;11011;8888;98054;9495;91594;22849;176043;217538;2408.524;2408.751;2929.939;2411;3047.132;1418;1539;1539;1295;1537;1252;2149;6202;36.92;76206;166219;22241;6.47;2432;4233;1036;637;393;0.21;132;1;624;276;8118;1.19;28159;107;1610;117;55;1009;2412;38072;0;35751;283029;0;63536;274895;390398;342582;101174;0;24;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;5398;6375;7.39;8.4;9423;10446;11476;12506;13539;158952;34;80;6;360;50;2024;364;12768;2760;86290;40;70;110;171;279;409;586;809;1048;1259;3784;4413;4954;5501;6.09;6514;6959;7405;7772;8069;176696;203226;1.15;26531;70911;34287;23889;16017;17124;15608;13506;13191;703;0.4;245;142;79;47;21616;13812;14175;12054;10.05;9329;636;345;203;0.11;59;33;23889;16017;17124;15608;13506;13191;99629;3909;419388;3773;4286;4556;4577;4496;4419
Cefoperazone ;C25H26S2N9O8;0.039999999;644.74;9.21;45.3;72.7;47.45;122.5;0.65;1.04;0.68;2.78;70;44;74;48;16;61;125;5;6;9;122;10;0;6;26;25;9;8;0;2;0;0;0;0;0;0;0;1;1;3;0;1;0;0;0;0;1;236;749889;285;691333;33;30865;1833;2017;0.18;100.5;18;75;254955;335591;207;31520;57211.222;33077;107618.111;38668;29273;7383;7804;88414;204819;6064.284;458321;5891;8328;41921;108837;11123;86813;51215;633121;63753;5784.545;5784.537;8492.42;6236.703;8739.801;1227;1549;1549;1065;1441;1036;3211;6548;91702;165936;234215;31942;13.26;6.37;9626;961;595;365;192;98;1;1451;677;15386;2222;58917;235;4426;242;105;813;3338;0;96743;143743;485929;0;199343;0;0;0;0;294;646;108;0;0;0;0;0;240;138;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;5468;6347;7251;8148;9057;9963;10876;11789;12706;173605;44;96;0;384;10;1866;98;9952;684;56006;48;70;97;124;151;170;201;220;253;294;4127;4668;5149;5556;5829;5938;6244;6483;6664;6925;169791;208527;1228;38736;89204;44154;31706;21.01;19406;16963;13786;10586;721;438;277;175;111;0.07;24984;15373;11975;9729;7177;5114;568;0.32;171;0.1;58;34;32413;21918;20481;18443;15466;12389;144259;5044;465529;4129;4513;4649;4634;4662;4559
Cefpirome ;C22H22S2N6O5;0.2;514.64;9.03;37.48;58.47;39.69;88.5;0.66;1.03;0.7;2.53;57;35;61;39;16;49.5;282;5;7;7;115;5;0;11;22;22;6;5;0;2;0;0;0;0;0;0;0;1;2;2;0;1;1;0;0;0;0;192;544889;234;518;29;25778;1927;2089;197;78;14;57;188569;223.2;0.22;17100;28483.556;18247;49512.889;32061;19296;3906;6565;69862;149855;3081.634;289652;4911;8112;19104;85021;6930;53770;33707;346777;54720;3037.059;3037.127;4338.282;3174.578;4498.074;1217;1555;1555;1099;1484;1065;3073;6014;54126;87736;177525;24224;9877;4455;6836;993;587;359;208;109;1;959;438;12514;2157;38709;161;2177;151;42;965;3101;0;69217;188694;203328;0;140614;152022;0;0;0;91;180;58;0;0;0;0;0;62;66;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;5263;6151;7067;7976;8899;9816;10742;11665;12594;154174;35;78;0;314;20;1536;196;8298;1440;47498;39;57;81;111;134;154;184;209;234;272;3922;4497;5047;5553;5894;6.11;6402;6633;6838;7138;153049;198957;1.3;45908;71.83;35189;24.69;16884;15548;13373;11848;9236;705;433;273;165;107;69;20379;12911;10.36;8343;6614;4619;582;331;182;103;0.06;34;25397;17792;16.71;14694;13332;10778;116539;4462;347019;3.93;4301;4314;4.41;4473;4324
Ceftizoxime ;C13H12S2N5O5;0.12;382.44;10.34;24.8;38.89;26.26;71.5;0.67;1.05;0.71;2.86;37;25;39;27;10;34.5;185;3;4;5;128;5;0;5;12;13;5;5;0;2;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;132;446889;159;398;19;17224;1807;1992;241;57.5;10;38;119737;122.48;238;6456;12367.556;6498;22978.889;23985;15445;1531;5103;46524;91171;1278.539;85467;4082;4745;5849;55782;2562;14923;27382;190.3;8866;1203.726;1203.829;1815.614;1256.965;1932.272;1606;2013;2013;1364;1928;1.29;3094;5.46;46387;68606;114096;18013;7215;3327;5198;983;584;355;201;108;1;500;238;9.52;1379;19779;88;862;78;42;1157;2661;0;48202;74.67;76222;0;103311;0;0;0;0;46;144;42;0;0;0;0;0;62;66;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;4.89;5765;6676;7578;8496;9408;10329;11248;12172;128563;25;54;0;218;10;1074;98;5850;702;33784;27;39;54;71;83;88;97;93;97;96;3.57;4099;4604;5034;5253;5398;5578;5509;5629;5764;92244;113816;1234;21572;50283;25241;18137;11935;10947;9.09;7719;5985;725;442;281;168;109;72;14396;8846;6979;5354;4092;2792;576;328;179;99;58;34;18845;12843;12141;10347;9148;7419;86267;3583;206839;3648;4009;3972;4.06;4113;3732
Chloroprocaine ;C13H20ClN2O2;0.82999998;271.8;7.15;22.39;38.08;24.01;42.94;0.59;1;0.63;2.39;38;18;38;18;7;22;333;1;1;7;184;1;0;6;20;13;2;2;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;82;199605;91;190111;8;11038;1688;1846;301;39333;5;24;78009;77778;302;2756;4139.383;2536;5310;18429;11438;700;4575;29236;52572;635167;0;4.42;1792;2488;34367;922;4021;23216;122266;1432;559268;559151;854471;567985;915462;2252;2822;2822;1848;2785;1726;2063;4778;20161;43.9;71059;15124;7489;4698;6292;1113;561;0.33;155;65;833;303;156;8667;1.37;13086;56;392;50;35;2256;2558;0;0;0;67861;0;0;0;0;0;0;9;20;0;0;0;11;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;4419;5209;6033;6841;7672;8486;9322;10141;10981;105104;18;36;0;128;0;546;0;2536;0;12326;18;23;27;29;29;28;22;20;17;15;3135;3597;4.03;4429;4787;4836;4562;4389;4192;4263;55151;71133;1.29;15983;35065;18255;13544;8579;7.15;5655;4174;2452;752;477;311;209;144;85;11666;6.68;4754;3.44;2056;892;648;371;207;127;71;31;14044;8868;7521;5987;4622;2607;57036;2977;110492;3119;3418;3509;3524;2953;2947
Cimetidine ;C10H16SN6;0.30000001;252.39;7.65;20.04;33.11;21.49;39.33;0.61;1;0.65;2.31;33;17;33;17;4;22;0;1;1;7;212;3;1;0;16;10;6;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;74;203444;80;191667;6;10.92;1789;1901;303;37;3;18;73796;78118;345;2648;4471.444;2480;6756.333;17961;8859;664;4882;26364;46157;632.8;0;5303;1609;2534;30627;813;3682;22823;114.95;1226;481107;481071;731.37;561243;734914;1961;2711;2711;1787;2296;1796;1163;2427;11249;24963;69487;13881;7.99;5115;6524;1136;534;0.31;155;61;833;301;153;9;1412;12464;59;325;48;21;2728;2514;0;0;56919;0;0;0;0;0;0;0;76;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;4317;5081;5866;6648;7439;8227;9021;9813;10.61;101022;17;34;0;114;10;448;98;1898;684;8384;17;20;23;24;19;16;15;15;16;15;3135;3466;3738;4025;3761;3466;3434;3526;3761;3871;53376;65891;1234;12515;33314;17235;12.51;8274;6369;5001;3628;2.08;736;487;318;217;151;109;10842;6437;4468;3156;2117;1283;638;379;223;137;88;68;12864;8774;6867;5538;4206;2621;57374;3.06;95556;3143;3295;3273;3199;2948;2805
Clavulanic_acid ;C8H8O5N;0.059999999;198.17;9.01;13.65;23.33;13.94;45.17;0.62;1.06;0.63;3.23;22;14;23;15;3;18;0;2;3;2;87;3;0;0;8;8;1;5;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;74;290;90;234;12;9364;1.75;1952;327;33.5;6;19;51564;40714;258;1206;2790;1104;5421;13739;8143;285;3132;23938;39.46;230474;13811;1.7;2944;692;27807;562;2275;12058;50566;1385;228643;228695;347147;229215;373715;2054;2523;2522;1681;2516;1564;3055;4042;31427;31901;51303;9339;3.17;1281;2114;826;582;355;212;115;0.75;155;76;5429;857;7673;28;178;32;22;1461;1924;0;24393;30141;0;43.62;0;0;0;0;0;0;11;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;4317;5198;6129;7043;7981;8905;9844;10772;11.71;100901;14;30;0;126;10;636;140;3502;1386;20230;15;22;31;42;46;47;35;23;8;3;2944;3401;3761;4174;4369;4454;4344;4025;3135;2197;46.3;52753;1139;6453;27841;14.43;10293;6647;6156;4899;4402;3.18;735;443;0.28;158;105;69;7143;4129;3073;2275;1548;0.92;0.51;275;0.14;73;37;0.02;10293;6647;6156;4899;4402;3.18;43638;2547;90022;2917;3247;3175;3268;2858;2145
Cocaethylene ;C18H24O4N;0.77999997;318.43;6.78;27.92;47.07;29.58;53;0.59;1;0.63;2.3;47;23;49;25;8;30;0.24;3;4;6;122;2;0;6;24;18;1;4;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;1;120;300;143;283;17;16414;1.89;2041;247;50.5;8;37;105685;101043;231;4970;7755;5036;11787;22138;11637;1162;4593;43048;82286;963974;69815;3.44;5.05;3985;51484;2177;12570;21263;143561;7818;976072;976317;1461.916;977727;1563.681;1672;1.97;1969;1325;1966;1241;2024;5433;29845;51559;100042;16317;6917;3228;4907;1025;576;349;196;103;833;419;198;8609;1138;16567;69;737;74;20;1226;2436;0;0;54916;141078;77954;0;0;0;0;0;0;18;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;4796;5659;6.55;7437;8338;9235;10142;11045;11955;123156;23;50;0;190;10;878;126;4470;1098;24070;25;35;48;64;78;87;93;90;88;83;3434;3882;4314;4715;5046;5039;5213;5154;5349;5522;89534;108804;1215;19.27;46738;23272;16397;11113;9811;8464;7214;5456;713;445;0.28;176;113;0.07;13735;8541;6684;5513;4308;3032;597;342;191;115;67;39;16397;11113;9811;8464;7214;5456;70182;3418;186569;3.35;3702;3753;3726;3646;3558
Cocaine ;C17H22O4N;0.88;304.4;6.92;26.32;44.19;27.82;51.5;0.6;1;0.63;2.34;44;22;46;24;8;29;0.25;3;4;5;109;2;0;6;22;17;1;4;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;1;116;296;139;275;17;15.72;1886;2043;252;48.5;8;36;99257;92818;232;4398;7024;4469;10928;21245;11213;1021;4.42;41205;77551;834141;63042;3387;5.05;3391;49166;1947;10974;19334;128431;7028;854536;854743;1267.32;855965;1354.068;1671;1973;1973;1.34;1.97;1256;2029;5304;28551;47698;94107;15354;6.29;2877;4.39;994;582;359;194;104;1;379;178;8091;1099;14835;64;634;68;19;1055;2368;0;0;51.76;133511;73176;0;0;0;0;0;0;18;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;4762;5631;6524;7414;8316;9214;10121;11025;11934;120.94;22;48;0;184;10;858;126;4392;1098;23728;24;34;47;62;76;83;88;83;79;76;3401;3861;4301;4688;5033;5013;5186;5107;5301;5483;85092;103273;1214;18181;44735;22284;15.69;10613;9.43;8364;6838;5371;713;442;277;178;0.11;71;13028;7953;6455;5428;4206;2984;592;331;0.19;115;68;39;15.69;10613;9.43;8364;6838;5371;67389;3322;176451;3314;3669;3729;3669;3592;3421
Cortisol ;C21H30O5;0.5;362.51;6.47;32.53;55.89;34.69;64.08;0.58;1;0.62;2.46;56;26;59;29;3;32;0;4;10;2;34;3;0;0;30;21;0;5;0;0;0;0;0;0;0;0;0;0;1;3;0;0;1;2;0;0;0;154;322;198;302;28;18087;1783;2005;235;57;13;59;121584;109615;196;6169;9883;6302;15903;23.87;16283;1425;4385;54439;107.41;939276;89.09;2111;6893;4757;66225;4677;38213;14079;110638;27609;1341.5;1341.564;1461.889;1341.841;1486.522;1677;1759;1759;1652;1759;1632;2794;5362;48342;84455;122211;18343;5735;2239;4046;1.03;623;405;215;114;1;496;230;8846;1408;18296;80;770;84;52;1052;2705;0;0;37415;125669;0;0;61884;139176;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;5043;5984;6959;7923;8903;9874;10856;11.83;12813;135184;26;58;0;250;10;1336;140;7922;1404;49628;29;48;73;102;135;166;208;252;285;291;3497;4025;4489;4828;5153;5371;5628;5864;6087;6165;116038;125655;1083;9617;52972;26294;18905;12171;12.32;11.54;9716;7819;727;0.42;257;158;95;58;15702;9957;9557;8653;7281;5591;604;343;199;119;71;41;18905;12171;12.32;11.54;9716;7819;75962;3364;254.43;3455;3957;4188;4118;3.9;3558
Cortisone;C21H28O5;0.74000001;360.49;6.68;31.93;54.01;33.93;65.42;0.59;1;0.63;2.52;54;26;57;29;4;33;0;4;10;2;35;4;0;0;28;21;0;5;0;0;0;0;0;0;0;0;0;0;1;3;0;0;1;2;0;0;0;154;340;198;316;28;18087;1783;2005;235;57;13;59;121584;109615;196;6169;10095;6302;16556;23.87;16283;1425;4385;54439;107.41;939276;89.09;2111;6893;4757;66225;4677;38213;14079;110638;27609;1332.125;1332.181;1437.465;1332.423;1459.019;1677;1769;1769;1674;1769;1656;2855;6.32;50276;86278;122211;18.07;5594;2172;3888;1014;623;405;215;114;1;496;230;8846;1408;18296;80;770;84;52;1052;2705;0;0;37415;125669;0;0;61884;139176;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;5043;5984;6959;7923;8903;9874;10856;11.83;12813;135184;26;58;0;250;10;1336;140;7922;1404;49628;29;48;73;102;135;166;208;252;285;291;3526;4.06;4522;4.89;5.22;5442;5704;5927;6151;6211;116038;126812;1093;10774;52972;26294;18905;12171;12.32;11.54;9716;7819;727;0.42;257;158;95;58;15585;9804;9381;8411;6976;5313;599;338;195;115;68;39;18905;12171;12.32;11.54;9716;7819;75962;3364;254.43;3455;3957;4188;4118;3.9;3558
Creatinine;C4H7ON3;0.31;113.14;7.54;8.69;15.4;8.99;22.83;0.58;1.03;0.6;2.85;15;8;15;8;2;10;0;1;1;0;0;2;0;0;7;4;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;38;132;42;119;6;4682;1.6;1795;462;18.5;3;7;21.39;14.75;306;256;569;197;781;7468;4.3;59;2107;11653;16333;46.2;0;1017;1609;103;13033;108;284;5514;16583;164;44768;44775;72.84;44982;80301;2388;3132;3131;1944;3117;1766;1829;3355;10.06;7951;24;5.41;1653;935;1118;855;592;327;0.15;54;333;51;27;3375;469;2688;12;22;7;10;906;954;0;0;19067;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;3664;4443;5283;6084;6923;7732;8567;9381;10212;78288;8;16;0;60;10;256;112;1156;846;5396;8;11;12;13;8;1;0;0;0;0;2398;2833;3091;3332;3091;1099;0;0;0;0;20777;23844;1148;3068;15321;8667;6146;3698;3531;2.52;1.83;0.85;768;462;321;0.21;141;106;4587;2281;1.72;1003;532;179;573;285;156;84;41;22;6146;3698;3531;2.52;1.83;0.85;24124;1853;34751;2335;2.66;2257;1357;0;0
DDE;C14H8Cl4;0.61000001;318.02;12.23;20.39;26.6;22;42.44;0.78;1.02;0.85;2.36;26;18;27;19;13;26;632;2;2;2;74;1;0;12;8;14;0;0;0;0;0;4;0;0;0;4;0;0;0;2;0;0;0;0;0;0;2;90;170.42;103;192444;12;12137;1.8;1963;287;37333;6;26;75307;67;255;2524;3399.753;2443;4278.42;17819;9965;603;3941;31571;56395;475;22307;2579;3584;1820;37259;963;4112;16.71;101969;2135;424.5;423538;468.5;454234;455401;1949;2704;2708;2.51;2568;2563;1459;1.86;14.45;26684;51059;13749;5978;3428;4566;1052;582;327;173;99;1;277;135;7.5;1111;11111;45;396;50;18;946;2377;0;0;0;122631;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;19;4511;5333;6196;7041;7909;8764;9632;10491;11.36;108238;18;38;0;142;0;638;0;3118;0;15918;19;26;32;40;48;44;48;36;24;24;3296;3912;4449;5002;5.52;5627;5964;6019;5901;6196;57583;81572;1417;23989;35993;18315;13121;8575;7861;5979;4815;3887;729;451;302;187;0.12;81;12154;6661;5471;3337;2306;1574;675;351;0.21;104;58;33;15121;9.73;9733;6942;5693;4.7;64154;2944;124374;3325;3838;3752;3796;3.75;3485
Dexamethasone;C22H29FO5;0.37;392.51;6.89;33.64;57.4;35.63;74.83;0.59;1.01;0.63;2.67;57;28;60;31;4;35;0;4;10;2;33;4;0;0;29;22;0;5;0;0;1;0;0;0;0;1;0;0;1;3;0;0;1;2;0;0;0;168;394;221;362;31;18781;1714;1956;231;62.5;15;70;133312;119286;182;7136;12152;7214;20564;25.2;19109;1670;4418;60222;122143;1112.496;98353;2028;6893;5555;73894;5473;44906;16.5;128507;31795;1559;1558.136;1736.906;1559.931;1782.476;1769;1.87;1871;1724;1869;1692;3.23;8859;66406;110395;134606;19944;5842;2104;4161;982;633;424;222;115;1;530;248;8857;1378;19704;86;932;94;84;1041;2697;0;0;40545;138214;0;0;67.71;153146;0;0;0;0;0;0;0;0;0;0;68;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;5.13;6094;7084;8072;9068;10063;11062;12.06;13061;140693;28;62;0;274;10;1514;154;9314;1638;60652;31;53;84;116;155;194;243;288;321;332;3584;4143;4673;5043;5403;5673;5911;6153;6.4;6551;120968;137275;1135;16307;56562;28.29;20698;12963;13318;13127;10.56;8529;739;418;251;156;91;55;16613;10142;9749;8791;7261;5534;593;327;184;105;63;36;19776;12591;12783;12059;10242;8258;81469;3385;289398;3533;4079;4404;4313;4096;3824
Dichlorobenzene ;C6H4Cl2;0.98000002;147;12.25;9.2;12.3;10;19.56;0.77;1.02;0.83;2.44;12;8;12;8;6;11;0.75;1;1;0;0;0;0;6;4;6;0;0;0;0;0;2;0;0;0;2;0;0;0;1;0;0;0;0;0;0;1;36;69.21;39;73222;5;4.97;1714;1861;449;16667;2;8;21574;15;311;264;373.21;214;374481;7576;3484;60;2143;11514;16167;44;0;854;1792;106;12867;124;362;4193;15362;182;35608;35.41;44667;41729;41.97;2279;3752;3769;3135;3307;3292;1061;1466;5862;6563;16;5921;2377;1.38;1759;1.11;567;319;127;57;333;54;28;3.5;0.5;2;12;24;6;5;875;1;0;0;0;22133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;8;3611;4369;5153;5932;6718;7502;8287;9072;9858;76503;8;16;0;56;0;238;0;1096;0;5196;8;10;11;10;10;4;1;0;0;0;2485;3.02;3458;3804;4202;3446;2151;0;0;0;22178;30566;1378;8388;15533;8628;5983;3805;3239;2.54;1502;1024;748;476;324;231;0.15;102;5577;2961;2229;1.58;711;402;697;0.37;223;144;71;0.04;6983;4382;3981;3481;1872;1287;29178;1908;33731;2557;2934;3199;1932;0;0
Diclofenac ;C14H10Cl2NO2;0.79000002;295.15;10.18;20.71;29.76;21.82;50.22;0.71;1.03;0.75;2.64;29;19;30;20;13;27;0.6;2;2;4;133;1;0;12;10;14;1;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;94;265.21;107;247222;12;12.83;1.81;1965;279;41167;6;27;81518;74316;251;2934;5178.877;2840;8351.42;18725;10.35;706;4129;33308;60582;594333;26479;3269;3584;2195;39406;1324;7166;16896;100007;3176;525527;525057;684907;542238;713271;1936;2583;2585;1997;2519;1911;2806;3716;23787;36742;70711;13876;6066;3475;4.43;946;575;0.32;174;97;0.8;281;138;7263;1014;11983;52;424;46;19;1144;2215;0;0;0;122315;0;0;0;0;0;0;0;10;0;0;0;6;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;20;4554;5371;6229;7069;7931;8781;9644;10497;11.36;110435;19;40;0;148;0;658;0;3204;0;16330;20;27;33;41;49;45;43;44;37;32;3332;3912;4388;4907;5407;5426;5622;5977;6188;6347;70.01;108.13;1544;38.12;38026;19297;13828;9075;8219;6196;5076;3944;728;454;304;188;124;0.08;11303;6305;4725;3199;2.19;1334;595;315;175;97;53;27;14828;9653;8961;6913;5792;4333;62366;3047;133126;3254;3635;3742;3746;3562;3585
